Formula,Peso Molecular,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,IC50
C50H60N8O8S,932.4254818799999,6.829400000000007,4,13,197.32000000000002,11,550.0
C52H67N7O8,917.5051121039999,6.359200000000007,3,11,175.64000000000001,10,55.0
C55H74N8O8,974.5629613279999,6.2910000000000075,3,12,178.88000000000002,12,550.0
C55H74N8O8,974.5629613279999,6.2910000000000075,3,12,178.88000000000002,12,550.0
C51H66N8O8,918.5003610719999,5.858200000000006,3,11,178.88000000000002,9,55.0
C54H73N9O8,975.5582102959999,5.790000000000007,3,12,182.12000000000003,11,55.0
C55H75N9O8,989.5738603599998,6.1801000000000075,3,12,182.12000000000003,11,55.0
C52H68N8O8,932.5160111359999,6.248300000000007,3,11,178.88000000000002,9,55.0
C53H67N7O9,945.500026724,5.432900000000006,3,12,184.86999999999998,10,
C56H74N8O8,986.5629613279999,6.435100000000008,3,12,178.87999999999997,11,55.0
C55H72N8O8,972.5473112639999,6.045000000000008,3,12,178.87999999999997,11,
C55H72N8O8,972.5473112639999,6.045000000000008,3,12,178.87999999999997,11,55.0
C54H70N8O8,958.5316611999999,5.654900000000008,3,12,178.87999999999997,11,
C48H60N8O7,860.45849626,5.096100000000009,2,11,168.29999999999995,9,
C47H58N8O7,846.442846196,4.442000000000007,3,11,179.29999999999995,8,
C48H60N8O7,860.45849626,5.096100000000009,2,11,168.29999999999995,9,
C53H67N7O8,929.5051121039999,6.359200000000007,3,11,175.64000000000001,11,5500.0
C52H65N7O8,915.4894620399999,5.895400000000007,3,11,175.64000000000001,9,55.0
C49H65N9O7,891.50069542,4.997000000000007,2,12,173.23,10,5500.0
C48H62N8O7S,894.4462173240001,5.720000000000006,2,12,168.29999999999998,10,550.0
C48H62N8O8,878.469060944,5.251500000000005,2,12,181.44000000000003,10,550.0
C48H62N8O7S,894.446217324,5.720000000000007,2,12,168.29999999999998,10,5500.0
