SMILES,Formula,Molecular weight,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds
COc1ccc(cc1)[C@@H]1[C@H]([C@@H](CN1CC(=O)N(C)C1CCCCC1)c1ccc2OCOc2c1)C(O)=O,C28H34N2O6,494.2416868079999,4.056300000000003,1,6,88.54000000000002,7
C[C@H](N1C(=O)c2cc(ccc2[C@]1(OC1COC[C@@H]1O)c1ccc(Cl)cc1)C(C)(C)O)c1ccc(Cl)cc1,C29H29Cl2NO5,541.1422783879999,5.415200000000006,2,5,79.23,6
Cc1onc(c1COc1ccc(cn1)C(=O)NCc1nc(no1)C1CC1)-c1ccccc1,C23H21N5O4,431.15935415200005,3.814420000000003,1,8,116.17,8
Cc1ccc2c3CCN(Cc4ccccc4)Cc3c(=O)oc2c1,C20H19NO2,305.141578848,3.6597200000000027,0,3,33.45,2
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3[C@H]4CN(C[C@@H]34)c3ccc(C#N)c(F)c3)c(=O)c12,C21H17FN8O2,432.145850004,1.4218799999999996,0,10,118.66,4
[O-]C(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F.CCN(CC)c1ccc(cc1)C(=C1C=CC(C=C1)=[N+](CC)CC)c1ccc(cc1S([O-])(=O)=O)S(=O)(=O)NCCCC[C@H](NC(=O)Cc1csc(=[NH2+])n1C)C(=O)N[C@@H](Cc1cn(Cc2ccccc2)c[n+]1C)C(=O)NC1CC[NH+](C)CC1,C65H80F9N11O14S3,1505.49046322,-0.8151000000000073,6,18,361.07999999999987,26
CC(C)(O)[C@H](F)CNC(=O)c1cnc(cc1NCC1(O)CCC1)-c1cnn2cc(Cl)cnc12,C22H26ClFN6O3,476.17389459200007,2.6104000000000003,4,8,124.67,8
COc1cccc2CN(Cc3ccc(cc3)[C@H](C)NC(=O)c3cncs3)CCc12,C23H25N3O2S,407.16674804,4.201000000000003,1,5,54.46,6
Cn1cc(nc1-c1ccc(Cn2c3nc(ncc3[nH]c2=O)-c2cccnc2N2CCOCC2)cc1)C(F)(F)F,C26H23F3N8O2,536.189606636,3.485800000000002,1,9,106.74999999999999,5
CC(C)OC(=O)N1CCC(CC1)O[C@H]1CC[C@@H](CC1)Oc1cnc(cn1)S(C)(=O)=O,C20H31N3O6S,441.193356712,2.5961000000000007,0,8,107.91999999999999,6
CCCCOc1ccc(cc1)C(CC(O)=O)c1cccs1,C17H20O3S,304.1133155,4.533600000000003,1,3,46.53,8
Cc1cc(C)nc(c1)-c1cn[nH]c1C(=O)Nc1cc2nc(nn2cc1F)-c1ccccc1,C23H18FN7O,427.15568641600004,4.1896400000000025,2,6,100.86,4
COCCCN1C(=O)N(CC(=O)NCCO)C[C@]11CC[C@@](CC1)(N(C)C)c1ccccc1,C24H38N4O4,446.28930569600004,1.638900000000002,2,5,85.35,10
Cc1ccc(NC(=O)N(CCCCC2CCCCC2)CCc2ccc(SC(C)(C)C(O)=O)cc2)cc1[N+]([O-])=O,C30H41N3O5S,555.276692412,7.685720000000009,2,5,112.78000000000003,13
FC(F)(c1ccccc1)c1nc(N2CCC3(C2)N=N3)c2nnn(Cc3ccccc3Cl)c2n1,C22H17ClF2N8,466.1232766640001,4.4353000000000025,0,8,84.45,5
CCn1nc(Cl)c2cnc(Nc3cn(nc3Cl)C3CCN(CC3)S(=O)(=O)C3CC3)nc12,C18H22Cl2N8O2S,484.096348304,3.2222000000000017,1,9,110.83,6
CN1CCC2(CC1)N[C@@H](CO)C(=O)N(C2=O)c1c(C)cccc1C,C18H25N3O3,331.18959166,0.5915400000000002,2,5,72.88,2
CC(=O)N1CCc2c(C1)[nH]nc2C(=O)N1CCC(CC1)c1cccc(F)c1C(F)(F)F,C21H22F4N4O2,438.167888824,3.4920000000000018,1,3,69.3,2
O[C@@H]1CN2CCC[C@@H](O)[C@@H]2[C@@H]1O,C8H15NO3,173.10519334,-1.4528999999999999,3,4,63.93000000000001,0
O=C(N[C@@H]1CCCNC1)c1sc2nccc3n(-c4cccc(c4)-c4ccccc4)c(=O)[nH]c1c23,C26H23N5O2S,469.157245976,5.128700000000004,3,5,86.36000000000001,4
O=C(Cc1cccc(OCCCC2CCNCC2)c1)Nc1nc(cs1)-c1c[nH]c2ncccc12,C26H29N5O2S,475.20419616800007,5.026200000000004,3,6,91.92999999999999,9
CC(C)Cn1c2nc([nH]c2c(=O)n(CC(C)C)c1=O)-c1cc(OCC(=O)Nc2ccc(F)cc2)nn1C,C25H30FN7O4,511.23433066,2.7554,2,9,128.83,9
Cn1c(nc2c(N)nc(CCCCO)nc12)-n1nccn1,C12H16N8O,288.144707132,-0.15880000000000044,2,9,120.56,5
CN1CCC(CC1)N1CNc2ccc(NC(=O)c3c(F)cc(F)cc3F)cc12,C20H21F3N4O,390.16674595200004,3.639800000000001,2,4,47.61,3
CCCCc1nc(Cl)c(CNC(=O)C(CS)Cc2ccc3ccccc3c2)n1Cc1ccc(cc1)-c1ccccc1C(O)=O,C36H36ClN3O3S,625.2165906920001,7.850700000000009,3,5,84.22,13
CCOC(=O)C(=O)C1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,C23H30N2O5,414.21547205999997,2.1235,0,5,83.99000000000001,8
Oc1ccc(cc1)-c1nc(c([nH]1)-c1ccc(F)cc1)-c1ccncc1,C20H14FN3O,331.112090288,4.650400000000003,2,3,61.800000000000004,3
COCC1N(Cc2ccccc12)c1cn[nH]c(=O)c1Cl,C14H14ClN3O2,291.077454368,2.1310000000000002,1,4,58.22,3
Cc1c[nH]c2ncnc(-c3ccc(NC(=O)N(CCO)c4ccc(F)cc4)cc3)c12,C22H20FN5O2,405.16010309999996,4.103220000000002,3,4,94.14,5
